Product code;Language;Product id;Category;Price;Weight;Quantity;Zero price action;Product name;Description;Taxes;Status
01435-01030;ru;01435-01030;Komatsu;107.82;0,03;7;R;01435-01030 анкр, ;01435-01030 анкр, ;VAT;A
01435-01075;ru;01435-01075;Komatsu;75.92;0,05;1;R;01435-01075 анкр, ;01435-01075 анкр, ;VAT;A
01435-01085;ru;01435-01085;Komatsu;185.87;0,05;1;R;01435-01085 анкр, ;01435-01085 анкр, ;VAT;A
01435-01220;ru;01435-01220;Komatsu;140.7;0,04;52;R;01435-01220 анкр, ;01435-01220 анкр, ;VAT;A
01435-01225;ru;01435-01225;Komatsu;146.84;0,04;31;R;01435-01225  анкр, ;01435-01225  анкр, ;VAT;A
01435-60890;ru;01435-60890;Komatsu;136.58;0,037;2;R;01435-60890 анкр, ;01435-60890 анкр, ;VAT;A
01435-61025;ru;01435-61025;Komatsu;81.12;0,02;1;R;01435-61025 анкр, ;01435-61025 анкр, ;VAT;A
01436-01005;ru;01436-01005;Komatsu;220.79;0,06;1;R;01436-01005 анкр, ;01436-01005 анкр, ;VAT;A
01437-01070;ru;01437-01070;Komatsu;164.31;0,05;6;R;01437-01070 анкр, ;01437-01070 анкр, ;VAT;A
01437-01220;ru;01437-01220;Komatsu;209.49;0,03;1;R;01437-01220 анкр, ;01437-01220 анкр, ;VAT;A
01438-01270;ru;01438-01270;Komatsu;526.8;0,14;2;R;01438-01270 анкр, ;01438-01270 анкр, ;VAT;A
01508-40805;ru;01508-40805;Komatsu;52.38;0,01;20;R;01508-40805 ьюиаю, ;01508-40805 ьюиаю, ;VAT;A
01531-08516;ru;01531-08516;Komatsu;5415.94;0,53;4;R;01531-08516 цюийю, ;01531-08516 цюийю, ;VAT;A
01541-11260;ru;01541-11260;Komatsu;655.17;0,06;1;R;01541-11260 цюийю, ;01541-11260 цюийю, ;VAT;A
01580-03931;ru;01580-03931;Komatsu;1969.62;0,47;23;R;01580-03931 цюийю, ;01580-03931 цюийю, ;VAT;A
01580-11008;ru;01580-11008;Komatsu;17.ЮБЦ;0,01;6;R;01580-11008 цюийю, ;01580-11008 цюийю, ;VAT;A
01580-11411;ru;01580-11411;Komatsu;100.63;0,02;1;R;01580-11411 ьюиаю, ;01580-11411 ьюиаю, ;VAT;A
01580-13629;ru;01580-13629;Komatsu;1529.08;0,3;8;R;01580-13629 цюийю, ;01580-13629 цюийю, ;VAT;A
01582-01411;ru;01582-01411;Komatsu;100.63;0,02;34;R;01582-01411 цюийю, ;01582-01411 цюийю, ;VAT;A
