ID - код товара учетной системы поставщика	Название компании	Артикул производителя запчасти	Производитель запчасти	Наименование запчасти	Описание запчасти в свободной форме	Вес, кг	Склад	Валюта	Ставка НДС	Город наличия товаров	"Список номеров аналогов, на которые еще подходит данная запчасть (для поиска) перечислены через "";"""	"Список брендов техники, на которые подходит запчасть (для поиска) перечислены через "";"""
00-00177174	ООО "Компания ИмПарт"	01643-21845	ITR	01643-21845 ШАЙБА БОЛТА НОЖА	01643-21845 ШАЙБА БОЛТА НОЖА	0,03	11;20,00	RUR	НДС 20%	Екатеринбург	01643-31845; 01643-21845; CR4375; J222018; S01062K0N12; 1060C61800000; JHP0079; 4114406; 14497031; 70927382; M18	KOMATSU
00-00018658	ООО "Компания ИмПарт"	01643-22460	KOMATSU	01643-22460 ШАЙБА	01643-22460 ШАЙБА	0,061	94;285,00	RUR	НДС 20%	Екатеринбург		
00-00002218	ООО "Компания ИмПарт"	01643-31445	JEMCO	01643-31445-JC ШАЙБА	01643-31445-JC ШАЙБА	0,019	50;16,00	RUR	НДС 20%	Екатеринбург	5P8246; 01643-31445; M14	KOMATSU
00-00003261	ООО "Компания ИмПарт"	01643-31445	ITR	01643-31445-US ШАЙБА,	01643-31445-US ШАЙБА,	0,019	72;16,00	RUR	НДС 20%	Екатеринбург	5P8246; 01643-31445; M14	KOMATSU
00-00002219	ООО "Компания ИмПарт"	01643-31645	JEMCO	01643-31645-JC ШАЙБА 	01643-31645-JC ШАЙБА 	0,02	31;15,00	RUR	НДС 20%	Екатеринбург	01643-31645; S5102901; S411-160002; 81Q6-90100; M16	KOMATSU
00-00022638	ООО "Компания ИмПарт"	01643-32060	AM	01643-32060 ШАЙБА КАТКА ПОДДЕРЖИВАЮЩЕГО	01643-32060 ШАЙБА КАТКА ПОДДЕРЖИВАЮЩЕГО	0,038	77;37,00	RUR	НДС 20%	Екатеринбург	01643-32060; S441-20002; 01643-21845; 5P8248; 8T4123; 4018545; M20	KOMATSU
00-00022634	ООО "Компания ИмПарт"	01643-32780	ITR	01643-32780 Шайба	Шайба	0,1	83;125,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00022471	ООО "Компания ИмПарт"	01654-22016-KMP	KMP	01654-22016-KMP Контршайба	Контршайба 	0,02	1;64,00	RUR	НДС 20%	Екатеринбург		
00-00022470	ООО "Компания ИмПарт"	01658-22016-KMP	KMP	01658-22016-KMP Контршайба	Контршайба 	0,05	1;133,00	RUR	НДС 20%	Екатеринбург		
00-00002221	ООО "Компания ИмПарт"	01803-02430	JEMCO	01803-02430-JC ГАЙКА СЕГМЕНТНАЯ	01803-02430-JC ГАЙКА СЕГМЕНТНАЯ	0,15	25;30,00	RUR	НДС 20%	Екатеринбург	195-27-12632; 01803-02430; 195-27-12641; M24; P178-27-11150	KOMATSU; SHANTUI
00-00174636	ООО "Компания ИмПарт"	01803-02430-ST	SHANTUI	01803-02430-ST ГАЙКА СЕГМЕНТА	01803-02430-ST ГАЙКА СЕГМЕНТА	0,15	81;43,00	RUR	НДС 20%	Екатеринбург	195-27-12632; 01803-02430; 195-27-12641	KOMATSU
00-00022557	ООО "Компания ИмПарт"	02762-00527	AM	02762-00527 РВД	РВД	1,69	2;4626,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00022552	ООО "Компания ИмПарт"	02777-00227-GS	GS	02777-00227-GS РВД	РВД	1,22	2;3674,00	RUR	НДС 20%	Екатеринбург		
00-00022494	ООО "Компания ИмПарт"	02894-47201	ITR	02894-47201 о-кольцо 07000-16200	о-кольцо 07000-16200	0,03	19;71,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00188958	ООО "Компания ИмПарт"	02896-11008	AM	02896-11008 Уплотнение	02896-11008 Уплотнение	0,12	1;146,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00022482	ООО "Компания ИмПарт"	02896-11012	ITR	02896-11012 О-кольцо	О-кольцо	0,17	50;81,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00177963	ООО "Компания ИмПарт"	02896-11018	ITR	02896-11018 о-кольцо	02896-11018 о-кольцо	0,24	1;177,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00021786	ООО "Компания ИмПарт"	03012-34400	KOMATSU	03012-34400 Болты крепления	Болты крепления	0,02	10;47,00	RUR	НДС 20%	Екатеринбург		
00-00009432	ООО "Компания ИмПарт"	04020-00616	KOMATSU	04020-00616 УСТАНОВОЧНЫЙ ШТИФТ	04020-00616 УСТАНОВОЧНЫЙ ШТИФТ	0,01	188;56,00	RUR	НДС 20%	Екатеринбург		
00-00006920	ООО "Компания ИмПарт"	04022-20040	KOMATSU	04022-20040 ПАЛЕЦ ФИКСИРУЮЩИЙ СТАЛЬ	04022-20040 ПАЛЕЦ ФИКСИРУЮЩИЙ СТАЛЬ	0,09	8;1540,00	RUR	НДС 20%	Екатеринбург		
00-00022597	ООО "Компания ИмПарт"	04065-03012	ITR	04065-03012 Стопорное кольцо	Стопорное кольцо	0,01	4;8,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00177989	ООО "Компания ИмПарт"	04065-04818	ITR	04065-04818 Кольцо	04065-04818 Кольцо	0,01	24;24,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00177990	ООО "Компания ИмПарт"	04065-05220	ITR	04065-05220 Кольцо стопорное насоса	04065-05220 Кольцо стопорное насоса	0,01	12;34,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00022509	ООО "Компания ИмПарт"	06000-06313-OFM	OFM	06000-06313-OFM Подшипник	Подшипник	2,17	1;988,00	RUR	НДС 20%	Екатеринбург		
00-00022455	ООО "Компания ИмПарт"	07000-05075-ETP	ETP	07000-05075-ETP Кольцо	Кольцо	0,01	25;57,00	RUR	НДС 20%	Екатеринбург		
00-00009584	ООО "Компания ИмПарт"	07000-12010	KOMATSU	07000-12010 ПРОКЛАДКА ТИП "О"	07000-12010 ПРОКЛАДКА ТИП "О"	0,001	5;68,00	RUR	НДС 20%	Екатеринбург		
00-00022490	ООО "Компания ИмПарт"	07000-12115	ITR	07000-12115 О-кольцо 07000-02115/07000-42115	О-кольцо 07000-02115/07000-42115	0,02	73;27,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00022454	ООО "Компания ИмПарт"	07000-13020	ITR	07000-13020 Кольцо	Кольцо	0,005	10;4,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00022495	ООО "Компания ИмПарт"	07000-13055	AM	07000-13055 О-кольцо 07000-43055	О-кольцо 07000-43055	0,008	47;16,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00022457	ООО "Компания ИмПарт"	07000-13065	ITR	07000-13065 Кольцо 07000-43068	Кольцо 07000-43068	0,002	13;2,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00022491	ООО "Компания ИмПарт"	07000-13110	ITR	07000-13110 О-кольцо 07000-03110/07000-43110	О-кольцо 07000-03110/07000-43110	0,004	8;21,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00022496	ООО "Компания ИмПарт"	07000-15075-ETP	ETP	07000-15075-ETP О-кольцо 07000-45075	О-кольцо 07000-45075	0,01	6;72,00	RUR	НДС 20%	Екатеринбург		
00-00009639	ООО "Компания ИмПарт"	07000-15140	KOMATSU	07000-15140 О-КОЛЬЦО	07000-15140 О-КОЛЬЦО	0,01	1;575,00	RUR	НДС 20%	Екатеринбург		
00-00022660	ООО "Компания ИмПарт"	07000-15145	ITR	07000-15145 Кольцо 07000-55145 / 07000-45145	Кольцо 07000-55145 / 07000-45145	0,02	30;95,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00022666	ООО "Компания ИмПарт"	07000-15165-KMP	KMP	07000-15165-KMP О-кольцо 07000-45165	О-кольцо 07000-45165	0,04	1;127,00	RUR	НДС 20%	Екатеринбург		
00-00021739	ООО "Компания ИмПарт"	07000-15210	KOMATSU	07000-15210 О-КОЛЬЦО 07000-05210	07000-15210 О-КОЛЬЦО 07000-05210	0,02	6;704,00	RUR	НДС 20%	Екатеринбург		
00-00022459	ООО "Компания ИмПарт"	07000-15350	AM	07000-15350 Кольцо 07000-55350	Кольцо 07000-55350	0,05	1;499,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00022500	ООО "Компания ИмПарт"	07000-16200	ITR	07000-16200 О-кольцо перепускного фильтра 02894-47201	О-кольцо перепускного фильтра 02894-47201	0,03	1;71,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00022486	ООО "Компания ИмПарт"	07000-43022	ETP	07000-43022 О-Кольцо	07000-43022 О-Кольцо	0,01	279;9,00	RUR	НДС 20%	Екатеринбург		
00-00022484	ООО "Компания ИмПарт"	07000-43135-OFM	OFM	07000-43135-OFM О-Кольцо	О-Кольцо	0,006	30;32,00	RUR	НДС 20%	Екатеринбург		
00-00009696	ООО "Компания ИмПарт"	07000-45220	KOMATSU	07000-45220 О-КОЛЬЦО	07000-45220 О-КОЛЬЦО	0,023	1;1975,00	RUR	НДС 20%	Екатеринбург		
00-00022493	ООО "Компания ИмПарт"	07000-53120	ITR	07000-53120 о-кольцо 07000-13120	о-кольцо 07000-13120	0,01	41;22,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00009756	ООО "Компания ИмПарт"	07000-55240	KOMATSU	07000-55240 ПРОКЛАДКА ТИП "О"	07000-55240 ПРОКЛАДКА ТИП "О"	0,03	1;2054,00	RUR	НДС 20%	Екатеринбург		
00-00022479	ООО "Компания ИмПарт"	07000-63035-WG	WG	07000-63035-WG О- кольцо 07000-73035	О- кольцо 07000-73035	0,007	9;43,00	RUR	НДС 20%	Екатеринбург		
00-00022460	ООО "Компания ИмПарт"	07000-63045-WG	WG	07000-63045-WG Кольцо 07000-63045/07000-73045	Кольцо 07000-63045/07000-73045	0,06	136;43,00	RUR	НДС 20%	Екатеринбург		
00-00009649	ООО "Компания ИмПарт"	07000-72075	KOMATSU	07000-72075 ПРОКЛАДКА ТИП "О"	07000-72075 ПРОКЛАДКА ТИП "О"	0,01	9;476,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00022452	ООО "Компания ИмПарт"	07000-72130-MTSN	MTSN	07000-72130-MTSN Кольцо	Кольцо	0,001	2;120,00	RUR	НДС 20%	Екатеринбург		
00-00009697	ООО "Компания ИмПарт"	07000-75210	KOMATSU	07000-75210 О-КОЛЬЦО	07000-75210 О-КОЛЬЦО	0,02	1;1392,00	RUR	НДС 20%	Екатеринбург		
00-00178345	ООО "Компания ИмПарт"	07001-05220	ITR	07001-05220 кольцо	07001-05220 кольцо	0,005	2;443,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00227392	ООО "Компания ИмПарт"	07001-05250	ITR	07001-05250 СТОПОРНОЕ КОЛЬЦО	07001-05250 СТОПОРНОЕ КОЛЬЦО	0,02	2;474,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00022467	ООО "Компания ИмПарт"	07002-11023-OFM	OFM	07002-11023-OFM Кольцо уплотнительное	Кольцо уплотнительное	0,01	1;9,00	RUR	НДС 20%	Екатеринбург		
00-00178360	ООО "Компания ИмПарт"	07002-12034	ITR	07002-12034 О-кольцо	07002-12034 О-кольцо	0,002	12;7,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00022498	ООО "Компания ИмПарт"	07002-13634	ITR	07002-13634 О-кольцо 07002-43634	07002-13634 О-кольцо 07002-43634	0,002	1;7,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00009826	ООО "Компания ИмПарт"	07002-51423	KOMATSU	07002-51423 ПРОКЛАДКА ТИП "О"	07002-51423 ПРОКЛАДКА ТИП "О"	0,01	19;186,00	RUR	НДС 20%	Екатеринбург		
00-00022487	ООО "Компания ИмПарт"	07005-00812-OFM	OFM	07005-00812-OFM О-кольцо	О-кольцо	0,031	2;36,00	RUR	НДС 20%	Екатеринбург		
00-00022611	ООО "Компания ИмПарт"	07012-10100	AM	07012-10100 Уплотнение	Уплотнение 	0,076	1;819,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00022614	ООО "Компания ИмПарт"	07012-20042-KMP	KMP	07012-20042-KMP Уплотнение масляное	Уплотнение масляное	0,04	1;223,00	RUR	НДС 20%	Екатеринбург		
00-00022612	ООО "Компания ИмПарт"	07016-20758	ITR	07016-20758 Уплотнение  144-63-94170	Уплотнение  144-63-94170	0,04	2;191,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00022681	ООО "Компания ИмПарт"	07016-20908-ETP	ETP	07016-20908-ETP Сальник 195-63-94170	Сальник 195-63-94170	0,05	7;245,00	RUR	НДС 20%	Екатеринбург		
00-00022608	ООО "Компания ИмПарт"	07018-12605	ITR	07018-12605 Уплотнение	Уплотнение	0,15	1;2138,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00022516	ООО "Компания ИмПарт"	07040-13618	ITR	07040-13618 Пробка	Пробка	0,21	1;488,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00021793	ООО "Компания ИмПарт"	07042-20108	KOMATSU	07042-20108 Заглушка	Заглушка	0,01	2;167,00	RUR	НДС 20%	Екатеринбург		
00-00021835	ООО "Компания ИмПарт"	07063-01142	KOMATSU	07063-01142 Фильтр гидравлики PT397	Фильтр гидравлики PT397	1	30;1460,00	RUR	НДС 20%	Екатеринбург		
00-00022558	ООО "Компания ИмПарт"	07074-01009-GS	GS	07074-01009-GS РВД	РВД	3,48	2;4318,00	RUR	НДС 20%	Екатеринбург		
00-00022551	ООО "Компания ИмПарт"	07098-01011	UV	07098-01011 РВД	РВД	3,61	2;6640,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00022556	ООО "Компания ИмПарт"	07098-01026	AM	07098-01026 РВД	РВД	6,35	2;11822,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00022555	ООО "Компания ИмПарт"	07098-01030	AM	07098-01030 РВД	РВД	7,6	2;13263,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00022562	ООО "Компания ИмПарт"	07100-31404	AM	07100-31404 РВД 07102-21404	РВД 07102-21404	1,95	3;5080,00	RUR	НДС 20%	Екатеринбург		
00-00015622	ООО "Компания ИмПарт"	07102-30412	KOMATSU	07102-30412 ШЛАНГ	07102-30412 ШЛАНГ	0,95	1;3960,00	RUR	НДС 20%	Екатеринбург		
00-00015001	ООО "Компания ИмПарт"	07102-30512	KOMATSU	07102-30512 ШЛАНГ	07102-30512 ШЛАНГ	1,25	2;5302,00	RUR	НДС 20%	Екатеринбург		
00-00013869	ООО "Компания ИмПарт"	07122-11019	KOMATSU	07122-11019 ШЛАНГ	07122-11019 ШЛАНГ	4,2	8;21639,00	RUR	НДС 20%	Екатеринбург		
00-00013872	ООО "Компания ИмПарт"	07123-10515	KOMATSU	07123-10515 ШЛАНГ	07123-10515 ШЛАНГ	2,7	5;11778,00	RUR	НДС 20%	Екатеринбург		
00-00013878	ООО "Компания ИмПарт"	07124-11006	KOMATSU	07124-11006 ШЛАНГ	07124-11006 ШЛАНГ	2,1	2;11455,00	RUR	НДС 20%	Екатеринбург		
00-00013900	ООО "Компания ИмПарт"	07124-11009	KOMATSU	07124-11009 ШЛАНГ	07124-11009 ШЛАНГ	2,6	6;6059,00	RUR	НДС 20%	Екатеринбург		
00-00022644	ООО "Компания ИмПарт"	07125-10610	AM	07125-10610 Шланг	Шланг	1,4	2;3488,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00013887	ООО "Компания ИмПарт"	07125-31215	KOMATSU	07125-31215 ШЛАНГ	07125-31215 ШЛАНГ	6,7	10;33568,00	RUR	НДС 20%	Екатеринбург		
00-00013904	ООО "Компания ИмПарт"	07126-11010	KOMATSU	07126-11010 ШЛАНГ	07126-11010 ШЛАНГ	3,1	20;7337,00	RUR	НДС 20%	Екатеринбург		
00-00003859	ООО "Компания ИмПарт"	07179-13126	KOMATSU	07179-13126 УПЛОТНИТЕЛЬНОЕ КОЛЬЦО	07179-13126 УПЛОТНИТЕЛЬНОЕ КОЛЬЦО	0,02	1;487,00	RUR	НДС 20%	Екатеринбург	;717913126;717913126	KOMATSU
00-00021784	ООО "Компания ИмПарт"	07206-31014	KOMATSU	07206-31014 БОЛТ	07206-31014 БОЛТ	0,05	18;886,00	RUR	НДС 20%	Екатеринбург		
00-00022481	ООО "Компания ИмПарт"	07445-66141	AM	07445-66141 О-кольцо	О-кольцо	0,07	1;1667,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00015460	ООО "Компания ИмПарт"	07621-10307	KOMATSU	07621-10307 ШЛАНГ	07621-10307 ШЛАНГ	0,7	1;2841,00	RUR	НДС 20%	Екатеринбург		
00-00015459	ООО "Компания ИмПарт"	07623-10314	KOMATSU	07623-10314 ШЛАНГ	07623-10314 ШЛАНГ	1,15	5;4089,00	RUR	НДС 20%	Екатеринбург		
00-00022506	ООО "Компания ИмПарт"	08088-10000-GA	GA	08088-10000-GA Переключатель 08088-20000	Переключатель 08088-20000	0,8	8;1237,00	RUR	НДС 20%	Екатеринбург		
00-00022166	ООО "Компания ИмПарт"	09244-02496	HPAD	09244-02496 ПАЛЕЦ КОРОНКИ	09244-02496 ПАЛЕЦ КОРОНКИ	0,38	345;118,00	RUR	НДС 20%	Екатеринбург	09244-02496; 4364125	KOMATSU
00-00002587	ООО "Компания ИмПарт"	09244-02508	HPAD	09244-02508 ПАЛЕЦ КОРОНКИ	09244-02508 ПАЛЕЦ КОРОНКИ	0,43	616;139,00	RUR	НДС 20%	Екатеринбург	175-78-21740; 4T2479	KOMATSU
00-00022168	ООО "Компания ИмПарт"	09244-02516	HPAD	09244-02516 ПАЛЕЦ КОРОНКИ	09244-02516 ПАЛЕЦ КОРОНКИ	0,48	717;137,00	RUR	НДС 20%	Екатеринбург	09244-02508; 09244-02516; 175-78-21810; 775-HL-300PS	KOMATSU
00-00022192	ООО "Компания ИмПарт"	09244-03036	HPAD	09244-03036 ПАЛЕЦ КОРОНКИ	09244-03036 ПАЛЕЦ КОРОНКИ	0,8	149;234,00	RUR	НДС 20%	Екатеринбург	198-79-11320; 426-84-71130; 426-847-1130; 775-HL-400PS	KOMATSU
00-00180963	ООО "Компания ИмПарт"	09370-00070	ITR	09370-00070 Уплотнение натяжителя 09370-00070	09370-00070 Уплотнение натяжителя 09370-00070	0,05	1;249,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00001079	ООО "Компания ИмПарт"	1-0096-TP	TAIHEIYO SEIKI	1-0096-TP КАТОК ОПОРНЫЙ ОДНОБОРТНЫЙ 175-30-00760	1-0096-TP КАТОК ОПОРНЫЙ ОДНОБОРТНЫЙ 175-30-00760	106	5;23046,00	RUR	НДС 20%	Екатеринбург	175-30-00489; 175-30-00480; 175-30-00481; 175-30-00483; 175-30-00484; 175-30-00485; 175-30-00486; 175-30-00487; 175-30-00488; 175-30-00544; 175-30-00760; 176-30-00065; 176-30-00112; KM122; KM122A; P175-30-00486	
00-00000808	ООО "Компания ИмПарт"	1010203	KTSU	1010203-KTSU ЗВЕЗДОЧКА	1010203-KTSU ЗВЕЗДОЧКА	49	5;5579,00	RUR	НДС 20%	Екатеринбург	1010203; UR190J121; R1579000M01; 1021239; FT3059	
00-00001132	ООО "Компания ИмПарт"	1010203	PUKDOO	1010203-PK ЗВЕЗДОЧКА (Z=21, 16 отв.)	1010203-PK ЗВЕЗДОЧКА (Z=21, 16 отв.)	44	2;6098,00	RUR	НДС 20%	Екатеринбург	1010203; UR190J121; R1579000M01; 1021239; FT3059	
00-00001139	ООО "Компания ИмПарт"	1010325	PUKDOO	1010325-PK ЗВЕЗДОЧКА (Z=21, отв. 16)	1010325-PK ЗВЕЗДОЧКА (Z=21, отв. 16)	37	2;5034,00	RUR	НДС 20%	Екатеринбург	1010325; 1020994; R7610000M01; R7610000S01; FT3056	HITACHI
00-00216215	ООО "Компания ИмПарт"	1010956	JEMCO	1010956-JC ЗВЕЗДОЧКА	1010956-JC ЗВЕЗДОЧКА	84,5	4;15535,00	RUR	НДС 20%	Екатеринбург	1010956; FT3061; UR215J123; R1599000M01; 1028494; AT131565;	
00-00177125	ООО "Компания ИмПарт"	1018740	JEMCO	1018740-JMCO ЗВЕЗДОЧКА (Z=21, 16 отв.)	1018740-JMCO ЗВЕЗДОЧКА (Z=21, 16 отв.)	50	9;7848,00	RUR	НДС 20%	Екатеринбург	1018740; 1020990; 7060522; R76200A0M01; HT403	HITACHI
00-00000776	ООО "Компания ИмПарт"	102-8151	KTSU	102-8151-KTSU КОЛЕСО НАПРАВЛЯЮЩЕЕ	102-8151-KTSU КОЛЕСО НАПРАВЛЯЮЩЕЕ	109,5	2;17601,00	RUR	НДС 20%	Екатеринбург	102-8151; CR5732; UX085C0E; 1132907; 248-7143; 113-2907; 2487143; 1028151; 7Y1601; 7Y-1601	HITACHI; CAT
00-00229890	ООО "Компания ИмПарт"	102-8152	JH	102-8152-JH КОЛЕСО НАПРАВЛЯЮЩЕЕ	102-8152-JH КОЛЕСО НАПРАВЛЯЮЩЕЕ	210	4;32289,00	RUR	НДС 20%	Екатеринбург	102-8152; CR6087; 1028152; 115-3698; 1153698; 136-2422; 1362422; 7Y0762; 7Y-0762; UX097C1E	HITACHI; CAT
00-00022018	ООО "Компания ИмПарт"	102-8152	KMF	102-8152-KMF КОЛЕСО НАПРАВЛЯЮЩЕЕ	102-8152-KMF КОЛЕСО НАПРАВЛЯЮЩЕЕ	218,1	1;39693,00	RUR	НДС 20%	Екатеринбург	102-8152; CR6087; 1028152; 115-3698; 1153698; 136-2422; 1362422; 7Y0762; 7Y-0762; UX097C1E	CAT; HITACHI
00-00036103	ООО "Компания ИмПарт"	102-8155	KTSU	102-8155-KT КОЛЕСО НАПРАВЛЯЮЩЕЕ	102-8155-KT КОЛЕСО НАПРАВЛЯЮЩЕЕ	218,1	4;47402,00	RUR	НДС 20%	Екатеринбург	102-8149; 102-8155;115-3696; 7Y03604; CR5884; P0125400Y00; PZ125400N00; 57700411	CAT
00-00177131	ООО "Компания ИмПарт"	1022168	JEMCO	1022168-JMCO ЗВЕЗДОЧКА (Z=21, отв. 20)	1022168-JMCO ЗВЕЗДОЧКА (Z=21, отв. 20)	71	7;13161,00	RUR	НДС 20%	Екатеринбург	1022168; HT411; R7630000M01	HITACHI
00-00000476	ООО "Компания ИмПарт"	1033091	JH	1033091-JH ЗВЕЗДОЧКА	1033091-JH ЗВЕЗДОЧКА	43	13;6031,00	RUR	НДС 20%	Екатеринбург	1033091; HT1025; UR190H421	
